theta,inner_cylinder,outer_cylinder
227,-2.01702,-3.28864
228,-1.99573,-3.30032
229,-1.97575,-3.31237
230,-1.9565,-3.32482
231,-1.93713,-3.33735
232,-1.91727,-3.34975
233,-1.89707,-3.36193
234,-1.87717,-3.37397
235,-1.85757,-3.38589
236,-1.83848,-3.39824
237,-1.82012,-3.41125
238,-1.80254,-3.42417
239,-1.78531,-3.43677
240,-1.76766,-3.44952
241,-1.74941,-3.46221
242,-1.73088,-3.47418
243,-1.71269,-3.48582
244,-1.69505,-3.49773
245,-1.67802,-3.50965
246,-1.66175,-3.52136
247,-1.6463,-3.53264
248,-1.63154,-3.54369
249,-1.61729,-3.55554
250,-1.60331,-3.56791
251,-1.58971,-3.57939
252,-1.57665,-3.59073
253,-1.56434,-3.60319
254,-1.55255,-3.61586
255,-1.54115,-3.62788
256,-1.5299,-3.63987
257,-1.51906,-3.65195
258,-1.50903,-3.66356
259,-1.50015,-3.67511
260,-1.4921,-3.68767
261,-1.4846,-3.70001
262,-1.47737,-3.71045
263,-1.47066,-3.72063
264,-1.46474,-3.73184
265,-1.45993,-3.74351
266,-1.4561,-3.75505
267,-1.45326,-3.7656
268,-1.45139,-3.77561
269,-1.45046,-3.78641
270,-1.45045,-3.79796
271,-1.4513,-3.80972
272,-1.4531,-3.82072
273,-1.45611,-3.8305
274,-1.46054,-3.8409
275,-1.46632,-3.85219
276,-1.47331,-3.86234
277,-1.48137,-3.8714
278,-1.49072,-3.88074
279,-1.50156,-3.89046
280,-1.51407,-3.90018
281,-1.52813,-3.91018
282,-1.54348,-3.92025
283,-1.56008,-3.92931
284,-1.57806,-3.93718
285,-1.59762,-3.94504
286,-1.61888,-3.95321
287,-1.64205,-3.96136
288,-1.66724,-3.96937
289,-1.69446,-3.97733
290,-1.72361,-3.98449
291,-1.75439,-3.99039
292,-1.78681,-3.99764
293,-1.82078,-4.00674
294,-1.8561,-4.01458
295,-1.89266,-4.02114
296,-1.93052,-4.02835
297,-1.97125,-4.03442
298,-2.01533,-4.03757
299,-2.06204,-4.03979
300,-2.10905,-4.04298
301,-2.15504,-4.04564
302,-2.20111,-4.04804
303,-2.24943,-4.05339
304,-2.30143,-4.06004
305,-2.35675,-4.0625
306,-2.41552,-4.06238
307,-2.47769,-4.06333
308,-2.54278,-4.06506
309,-2.60885,-4.06669
310,-2.67426,-4.06673
311,-2.73758,-4.06531
312,-2.79912,-4.06457
313,-2.85995,-4.06383
314,-2.92195,-4.06109
315,-2.98678,-4.05709
316,-3.05475,-4.05325
317,-3.1254,-4.04631
318,-3.19853,-4.03412
319,-3.27448,-4.02348
320,-3.35159,-4.01622
321,-3.42749,-4.00647
322,-3.49999,-3.99222
323,-3.56989,-3.97788
324,-3.64023,-3.96384
325,-3.71299,-3.9477
326,-3.78795,-3.93047
327,-3.86369,-3.91185
328,-3.93839,-3.89497
329,-4.01232,-3.87984
330,-4.08589,-3.85845
331,-4.16086,-3.83228
332,-4.23728,-3.80751
333,-4.31539,-3.78404
334,-4.39491,-3.76099
335,-4.47545,-3.73382
336,-4.55576,-3.70007
337,-4.63559,-3.66841
338,-4.71428,-3.64106
339,-4.79137,-3.60783
340,-4.86641,-3.56966
341,-4.94052,-3.53584
342,-5.01487,-3.50208
343,-5.09037,-3.46087
344,-5.16667,-3.41936
345,-5.24266,-3.38363
346,-5.31785,-3.34486
347,-5.39306,-3.30121
348,-5.46881,-3.26346
349,-5.54596,-3.22742
350,-5.62319,-3.1799
351,-5.69872,-3.12538
352,-5.77116,-3.07236
353,-5.84152,-3.02733
354,-5.91133,-2.99188
355,-5.98187,-2.95147
356,-6.0529,-2.8994
357,-6.12298,-2.84115
358,-6.19106,-2.78205
359,-6.25734,-2.72964
