x,y,u,v,p,T
0.624264,-0.424264,0.353553,0.353553,0.132524,1
0.645887,-0.401478,0.334565,0.371572,0.179571,1
0.666288,-0.377592,0.31466,0.388573,0.224984,1
0.68541,-0.352671,0.293893,0.404508,0.270936,1
0.703202,-0.326783,0.27232,0.419335,0.321787,1
0.719615,-0.3,0.25,0.433013,0.370295,1
0.734604,-0.272394,0.226995,0.445503,0.419357,1
0.748127,-0.244042,0.203368,0.456773,0.478677,1
0.760148,-0.215021,0.179184,0.46679,0.531875,1
0.770634,-0.18541,0.154508,0.475528,0.587716,1
0.779555,-0.155291,0.12941,0.482963,0.644432,1
0.786889,-0.124747,0.103956,0.489074,0.705339,1
0.792613,-0.0938607,0.0782172,0.493844,0.767357,1
0.796713,-0.0627171,0.0522642,0.497261,0.823714,1
0.799178,-0.0314016,0.026168,0.499315,0.886025,1
0.999507,0.0314108,0.0314108,-0.999507,1.70716,0
0.998027,0.0627905,0.0627905,-0.998027,1.74584,0
0.995562,0.0941083,0.0941083,-0.995562,1.78315,0
0.992115,0.125333,0.125333,-0.992115,1.81917,0
0.987688,0.156434,0.156434,-0.987688,1.85276,0
0.982287,0.187381,0.187381,-0.982287,1.88525,0
0.975917,0.218143,0.218143,-0.975917,1.91507,0
0.968583,0.24869,0.24869,-0.968583,1.94227,0
0.960294,0.278991,0.278991,-0.960294,1.96786,0
0.951057,0.309017,0.309017,-0.951057,1.99154,0
0.940881,0.338738,0.338738,-0.940881,2.00812,0
0.929776,0.368125,0.368125,-0.929776,2.0244,0
0.917755,0.397148,0.397148,-0.917755,2.03744,0
0.904827,0.425779,0.425779,-0.904827,2.04706,0
0.891007,0.45399,0.45399,-0.891007,2.05271,0
0.876307,0.481754,0.481754,-0.876307,2.058,0
0.860742,0.509041,0.509041,-0.860742,2.05697,0
0.844328,0.535827,0.535827,-0.844328,2.05441,0
0.827081,0.562083,0.562083,-0.827081,2.04994,0
0.809017,0.587785,0.587785,-0.809017,2.04132,0
0.790155,0.612907,0.612907,-0.790155,2.02906,0
0.770513,0.637424,0.637424,-0.770513,2.01496,0
0.750111,0.661312,0.661312,-0.750111,1.99857,0
0.728969,0.684547,0.684547,-0.728969,1.97936,0
0.707107,0.707107,0.707107,-0.707107,1.95761,0
